periode_data,kota_kabupaten,kecamatan,jumlah_penduduk,kepadatan_penduduk,nama_fasilitas,jenis_fasilitas,latitude,longtitude,,,,,,
2023,JAKARTA BARAT,KEMBANGAN,"313,599","12,300",Lapangan Sepakbola Joglo,Sepak Bola,-6217591,106722289,,,,,,
2023,JAKARTA BARAT,KEMBANGAN,"313,599","12,300",Gelanggang Remaja Kecamatan Kembangan,Gelanggang ,"-61,638,978,770,743","10,675,030,981,414",,,,,,
2023,JAKARTA BARAT,KEMBANGAN,"313,599","12,300",Gelanggang Remaja Kecamatan Kembangan,Gelanggang ,"-61,638,978,770,743","10,675,030,981,414",,,,,,
2023,JAKARTA BARAT,KEMBANGAN,"313,599","12,300",Lapangan Sepakbola Joglo,Sepak Bola,-6217591,106722289,,,,,,
2023,JAKARTA SELATAN,MAMPANG PRAPATAN,"159,772","19,871",Gelanggang Remaja Kecamatan Mampang Prapatan,Gelanggang ,"-62,501,245,467,253","10,681,497,355,583",,,,,,
2023,JAKARTA SELATAN,MAMPANG PRAPATAN,"159,772","19,871",Gelanggang Remaja Kecamatan Mampang Prapatan,Gelanggang ,"-62,501,245,467,253","10,681,497,355,583",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Gelanggang Remaja Kecamatan Pasar Minggu,Gelanggang ,"-62,846,759,449,476","10,683,738,096,832",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Pusat Pelatihan Olahraga Pendidikan Ragunan,Gelanggang ,"-63,054,243,131,286","10,682,476,774,603",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Gedung Kolam Renang (1 Lantai Bangunan Baru),Renang,"-63,054,243,131,286","10,682,476,774,603",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Gedung Multi Olahraga (4 Lantai Bangunan Baru),Gelanggang ,"-63,054,243,131,286","10,682,476,774,603",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Gedung Volley-Takraw (1 Lantai Bangunan Baru),Volley,"-63,054,243,131,286","10,682,476,774,603",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Lapangan Panahan,Panahan,"-63,054,243,131,286","10,682,476,774,603",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Lapangan Volley Outdoor (4 Lapangan),Volley,"-63,054,243,131,286","10,682,476,774,603",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Lapangan Volley Pasir (2 Lapangan),Volley,"-63,054,243,131,286","10,682,476,774,603",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Lapangan Basket Outdoor (2 Lapangan),Basket,"-63,054,243,131,286","10,682,476,774,603",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Lapangan Tenis ( 2 Lapangan),Tenis,"-63,054,243,131,286","10,682,476,774,603",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Lapangan Futsal,Futsal,"-63,054,243,131,286","10,682,476,774,603",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Gym Outdoor,Gym,"-63,054,243,131,286","10,682,476,774,603",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Wall Climbing,Panjat Tebing,"-63,054,243,131,286","10,682,476,774,603",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Lapangan Sepakbola Kebagusan,Sepak Bola,-63139026,1068281773,,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Lapangan Sepakbola Sintetis PPOP Ragunan,Sepak Bola,-6307676,106825828,,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Gedung Sport Science,Sport Science,"-63,054,243,131,286","10,682,476,774,603",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Gedung Serbaguna,Gelanggang ,"-63,054,243,131,286","10,682,476,774,603",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Lapangan Sepakbola Lapangan Baru,Sepak Bola,"-63,054,243,131,286","10,682,476,774,603",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Lapangan Track Atletik,Gelanggang ,"-63,054,243,131,286","10,682,476,774,603",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Gelanggang Remaja Kecamatan Pasar Minggu,Gelanggang ,"-62,846,759,449,476","10,683,738,096,832",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Pusat Pelatihan Olahraga Pendidikan Ragunan,Gelanggang ,"-63,054,243,131,286","10,682,476,774,603",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Gedung Kolam Renang (1 Lantai Bangunan Baru),Renang,"-63,054,243,131,286","10,682,476,774,603",,,,,,
